epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9519,1.71164,2.54007,1.40359,0.78216,0.70575,0.77634,0.55809,1.06821,1.23331,1.17143,8.24653e-05,8.24653e-05,8.24653e-05
2,57.9317,1.13008,1.09402,1.10148,0.93006,0.83595,0.93432,0.69023,0.96059,0.68481,1.04878,0.000160327,0.000160327,0.000160327
3,87.817,1.04279,0.86038,1.03937,0.93566,0.91924,0.95807,0.70799,0.95639,0.59761,1.02373,0.000232689,0.000232689,0.000232689
4,118.1,1.00142,0.75617,1.01207,0.9507,0.91337,0.96484,0.72396,0.92305,0.55506,1.00104,0.00022525,0.00022525,0.00022525
5,147.698,0.98277,0.70773,0.99344,0.94165,0.94449,0.97374,0.73317,0.91293,0.5319,0.98485,0.000217,0.000217,0.000217
6,176.605,0.97391,0.69366,0.98625,0.94999,0.95094,0.97491,0.73526,0.91075,0.51469,0.9788,0.00020875,0.00020875,0.00020875
7,207.358,0.96394,0.66702,0.97834,0.95918,0.94617,0.97247,0.72357,0.93873,0.51769,0.9803,0.0002005,0.0002005,0.0002005
8,237.085,0.95518,0.65367,0.97231,0.9719,0.94652,0.97748,0.73913,0.89826,0.49953,0.96937,0.00019225,0.00019225,0.00019225
9,266.861,0.94772,0.63998,0.96838,0.96301,0.95052,0.97847,0.74395,0.90112,0.489,0.96573,0.000184,0.000184,0.000184
10,298.087,0.94281,0.63242,0.96735,0.96893,0.95543,0.97806,0.73717,0.91247,0.49001,0.96461,0.00017575,0.00017575,0.00017575
11,329.472,0.93562,0.63169,0.96101,0.95577,0.95995,0.97834,0.74271,0.89584,0.48354,0.9612,0.0001675,0.0001675,0.0001675
12,363.611,0.9381,0.62365,0.96164,0.95546,0.96144,0.97883,0.74508,0.8965,0.48695,0.95826,0.00015925,0.00015925,0.00015925
13,399.745,0.92702,0.61166,0.95564,0.96236,0.96626,0.98137,0.74372,0.89865,0.47278,0.95888,0.000151,0.000151,0.000151
14,431.579,0.92555,0.6099,0.95779,0.96646,0.95667,0.98107,0.74577,0.88843,0.4701,0.95486,0.00014275,0.00014275,0.00014275
15,463.887,0.93207,0.61498,0.95542,0.96872,0.96177,0.98077,0.7407,0.90392,0.47183,0.96228,0.0001345,0.0001345,0.0001345
16,496.257,0.93028,0.61259,0.95532,0.96632,0.96512,0.98187,0.74534,0.8893,0.46898,0.95161,0.00012625,0.00012625,0.00012625
17,527.152,0.91868,0.59513,0.94896,0.96744,0.96316,0.98246,0.74692,0.88688,0.46461,0.95475,0.000118,0.000118,0.000118
18,557.406,0.92346,0.59665,0.95271,0.9724,0.96756,0.98135,0.74838,0.88887,0.46245,0.95369,0.00010975,0.00010975,0.00010975
19,587.081,0.92742,0.59364,0.94791,0.97387,0.96304,0.98161,0.74851,0.88966,0.46215,0.95141,0.0001015,0.0001015,0.0001015
20,617.535,0.9148,0.58519,0.95121,0.97501,0.95979,0.98135,0.74834,0.89312,0.45726,0.95272,9.325e-05,9.325e-05,9.325e-05
21,661.636,0.89099,0.52935,0.95795,0.9644,0.95467,0.97997,0.74394,0.89199,0.46744,0.95024,8.5e-05,8.5e-05,8.5e-05
22,690.322,0.87829,0.49935,0.95009,0.96222,0.95965,0.98129,0.74216,0.89758,0.46283,0.94978,7.675e-05,7.675e-05,7.675e-05
23,719.252,0.87252,0.49311,0.94619,0.96103,0.9643,0.98186,0.74568,0.88835,0.45765,0.94821,6.85e-05,6.85e-05,6.85e-05
24,748.279,0.87138,0.49157,0.94491,0.96957,0.95545,0.9816,0.74696,0.88635,0.45342,0.94689,6.025e-05,6.025e-05,6.025e-05
25,777.481,0.86733,0.48636,0.94581,0.96461,0.96647,0.98241,0.7472,0.88664,0.45157,0.94641,5.2e-05,5.2e-05,5.2e-05
26,807.289,0.86772,0.4841,0.94534,0.97353,0.96323,0.98241,0.74668,0.88707,0.45178,0.94509,4.375e-05,4.375e-05,4.375e-05
27,835.846,0.86553,0.48116,0.94601,0.97249,0.96299,0.98198,0.74774,0.88211,0.44921,0.94477,3.55e-05,3.55e-05,3.55e-05
28,864.334,0.86495,0.48025,0.94489,0.97275,0.9624,0.98267,0.74793,0.88894,0.44901,0.94514,2.725e-05,2.725e-05,2.725e-05
29,893.011,0.86355,0.4771,0.94476,0.9745,0.95984,0.98259,0.74703,0.88638,0.44599,0.94528,1.9e-05,1.9e-05,1.9e-05
30,923.761,0.86482,0.47802,0.9447,0.97181,0.9631,0.98285,0.74964,0.88362,0.44493,0.9443,1.075e-05,1.075e-05,1.075e-05
